Entity,Code,Day,"Birth rate per day, on a monthly basis"
Australia,AUS,1968-03-31,54.613907
Australia,AUS,1968-04-30,54.18821
Australia,AUS,1968-05-31,54.946777
Australia,AUS,1968-06-30,54.30568
Australia,AUS,1968-07-31,54.97983
Australia,AUS,1968-08-31,55.759377
Australia,AUS,1968-09-30,57.813255
Australia,AUS,1968-10-31,56.83058
Australia,AUS,1968-11-30,53.344593
Australia,AUS,1968-12-31,51.791805
Australia,AUS,1969-01-31,55.537273
Australia,AUS,1969-02-28,56.385067
Australia,AUS,1969-03-31,58.067574
Australia,AUS,1969-04-30,57.26507
Australia,AUS,1969-05-31,55.525997
Australia,AUS,1969-06-30,55.662254
Australia,AUS,1969-07-31,56.61936
Australia,AUS,1969-08-31,55.4389
Australia,AUS,1969-09-30,58.291313
Australia,AUS,1969-10-31,57.246296
Australia,AUS,1969-11-30,52.67549
Australia,AUS,1969-12-31,52.91807
Australia,AUS,1970-01-31,54.66853
Australia,AUS,1970-02-28,56.833927
Australia,AUS,1970-03-31,57.74432
Australia,AUS,1970-04-30,55.665108
Australia,AUS,1970-05-31,54.12687
Australia,AUS,1970-06-30,55.129066
Australia,AUS,1970-07-31,56.466
Australia,AUS,1970-08-31,55.687748
Australia,AUS,1970-09-30,58.368114
Australia,AUS,1970-10-31,57.8502
Australia,AUS,1970-11-30,55.787857
Australia,AUS,1970-12-31,58.683372
Australia,AUS,1971-01-31,59.477287
Australia,AUS,1971-02-28,61.357967
Australia,AUS,1971-03-31,61.030537
Australia,AUS,1971-04-30,57.83528
Australia,AUS,1971-05-31,58.159573
Australia,AUS,1971-06-30,58.90907
Australia,AUS,1971-07-31,58.50982
Australia,AUS,1971-08-31,57.34663
Australia,AUS,1971-09-30,59.578156
Australia,AUS,1971-10-31,55.53051
Australia,AUS,1971-11-30,53.382984
Australia,AUS,1971-12-31,53.962994
Australia,AUS,1972-01-31,54.353798
Australia,AUS,1972-02-29,56.957603
Australia,AUS,1972-03-31,58.434937
Australia,AUS,1972-04-30,54.96343
Australia,AUS,1972-05-31,55.16255
Australia,AUS,1972-06-30,55.151897
Australia,AUS,1972-07-31,53.944977
Australia,AUS,1972-08-31,54.32912
Australia,AUS,1972-09-30,55.368958
Australia,AUS,1972-10-31,52.133442
Australia,AUS,1972-11-30,50.75516
Australia,AUS,1972-12-31,51.12742
Australia,AUS,1973-01-31,50.396755
Australia,AUS,1973-02-28,52.075348
Australia,AUS,1973-03-31,53.802547
Australia,AUS,1973-04-30,51.164326
Australia,AUS,1973-05-31,50.43584
Australia,AUS,1973-06-30,49.54346
Australia,AUS,1973-07-31,49.51608
Australia,AUS,1973-08-31,49.774242
Australia,AUS,1973-09-30,50.004604
Australia,AUS,1973-10-31,49.128372
Australia,AUS,1973-11-30,46.164314
Australia,AUS,1973-12-31,46.6029
Australia,AUS,1974-01-31,49.044415
Australia,AUS,1974-02-28,50.76262
Australia,AUS,1974-03-31,50.81032
Australia,AUS,1974-04-30,49.703865
Australia,AUS,1974-05-31,50.616123
Australia,AUS,1974-06-30,49.60972
Australia,AUS,1974-07-31,49.199886
Australia,AUS,1974-08-31,47.775425
Australia,AUS,1974-09-30,48.1346
Australia,AUS,1974-10-31,50.052544
Australia,AUS,1974-11-30,45.78779
Australia,AUS,1974-12-31,45.53604
Australia,AUS,1975-01-31,46.757317
Australia,AUS,1975-02-28,48.20528
Australia,AUS,1975-03-31,47.014805
Australia,AUS,1975-04-30,45.94228
Australia,AUS,1975-05-31,47.592422
Australia,AUS,1975-06-30,46.015068
Australia,AUS,1975-07-31,46.63045
Australia,AUS,1975-08-31,44.16004
Australia,AUS,1975-09-30,46.25788
Australia,AUS,1975-10-31,45.006615
Australia,AUS,1975-11-30,43.52641
Australia,AUS,1975-12-31,44.161396
Australia,AUS,1976-01-31,44.556946
Australia,AUS,1976-02-29,46.041454
Australia,AUS,1976-03-31,46.70696
Australia,AUS,1976-04-30,45.6914
Australia,AUS,1976-05-31,44.354813
Australia,AUS,1976-06-30,44.689533
Australia,AUS,1976-07-31,43.426075
Australia,AUS,1976-08-31,42.169296
Australia,AUS,1976-09-30,44.43862
Australia,AUS,1976-10-31,43.648148
Australia,AUS,1976-11-30,42.84715
Australia,AUS,1976-12-31,42.67093
Australia,AUS,1977-01-31,42.67038
Australia,AUS,1977-02-28,45.30207
Australia,AUS,1977-03-31,45.808926
Australia,AUS,1977-04-30,44.08553
Australia,AUS,1977-05-31,45.160805
Australia,AUS,1977-06-30,45.3252
Australia,AUS,1977-07-31,44.156162
Australia,AUS,1977-08-31,43.44644
Australia,AUS,1977-09-30,44.569275
Australia,AUS,1977-10-31,43.20584
Australia,AUS,1977-11-30,41.631676
Australia,AUS,1977-12-31,40.877777
Australia,AUS,1978-01-31,42.361496
Australia,AUS,1978-02-28,45.01809
Australia,AUS,1978-03-31,45.60107
Australia,AUS,1978-04-30,43.833977
Australia,AUS,1978-05-31,43.47961
Australia,AUS,1978-06-30,43.310223
Australia,AUS,1978-07-31,41.457092
Australia,AUS,1978-08-31,43.218273
Australia,AUS,1978-09-30,43.581367
Australia,AUS,1978-10-31,41.99159
Australia,AUS,1978-11-30,41.02765
Australia,AUS,1978-12-31,40.589485
Australia,AUS,1979-01-31,41.388252
Australia,AUS,1979-02-28,44.376102
Australia,AUS,1979-03-31,44.612476
Australia,AUS,1979-04-30,43.596775
Australia,AUS,1979-05-31,43.717426
Australia,AUS,1979-06-30,41.926403
Australia,AUS,1979-07-31,42.26058
Australia,AUS,1979-08-31,41.716206
Australia,AUS,1979-09-30,41.941723
Australia,AUS,1979-10-31,41.221905
Australia,AUS,1979-11-30,40.30198
Australia,AUS,1979-12-31,38.872784
Australia,AUS,1980-01-31,41.786877
Australia,AUS,1980-02-29,42.941666
Australia,AUS,1980-03-31,43.0934
Australia,AUS,1980-04-30,42.863792
Australia,AUS,1980-05-31,43.490482
Australia,AUS,1980-06-30,43.261604
Australia,AUS,1980-07-31,41.926315
Australia,AUS,1980-08-31,40.459682
Australia,AUS,1980-09-30,42.979942
Australia,AUS,1980-10-31,41.756557
Australia,AUS,1980-11-30,38.92479
Australia,AUS,1980-12-31,41.618233
Australia,AUS,1981-01-31,42.397053
Australia,AUS,1981-02-28,44.632317
Australia,AUS,1981-03-31,45.592205
Australia,AUS,1981-04-30,45.52802
Australia,AUS,1981-05-31,44.729225
Australia,AUS,1981-06-30,44.07631
Australia,AUS,1981-07-31,43.52857
Australia,AUS,1981-08-31,43.205185
Australia,AUS,1981-09-30,45.180267
Australia,AUS,1981-10-31,43.03542
Australia,AUS,1981-11-30,40.166157
Australia,AUS,1981-12-31,41.583546
Australia,AUS,1982-01-31,41.739563
Australia,AUS,1982-02-28,44.335007
Australia,AUS,1982-03-31,46.065647
Australia,AUS,1982-04-30,43.627426
Australia,AUS,1982-05-31,42.569866
Australia,AUS,1982-06-30,43.71361
Australia,AUS,1982-07-31,43.010536
Australia,AUS,1982-08-31,43.627644
Australia,AUS,1982-09-30,44.543335
Australia,AUS,1982-10-31,42.418205
Australia,AUS,1982-11-30,40.9063
Australia,AUS,1982-12-31,41.260338
Australia,AUS,1983-01-31,41.961205
Australia,AUS,1983-02-28,45.168285
Australia,AUS,1983-03-31,46.702633
Australia,AUS,1983-04-30,44.46326
Australia,AUS,1983-05-31,43.806713
Australia,AUS,1983-06-30,43.624763
Australia,AUS,1983-07-31,43.368702
Australia,AUS,1983-08-31,43.245163
Australia,AUS,1983-09-30,44.709526
Australia,AUS,1983-10-31,42.45237
Australia,AUS,1983-11-30,40.14832
Australia,AUS,1983-12-31,40.008133
Australia,AUS,1984-01-31,41.433514
Australia,AUS,1984-02-29,43.37884
Australia,AUS,1984-03-31,45.044292
Australia,AUS,1984-04-30,42.88841
Australia,AUS,1984-05-31,42.972435
Australia,AUS,1984-06-30,42.307777
Australia,AUS,1984-07-31,41.876022
Australia,AUS,1984-08-31,42.921844
Australia,AUS,1984-09-30,42.952705
Australia,AUS,1984-10-31,42.585293
Australia,AUS,1984-11-30,41.11393
Australia,AUS,1984-12-31,40.45755
Australia,AUS,1985-01-31,42.532066
Australia,AUS,1985-02-28,43.213238
Australia,AUS,1985-03-31,43.97502
Australia,AUS,1985-04-30,43.198463
Australia,AUS,1985-05-31,43.10871
Australia,AUS,1985-06-30,41.26954
Australia,AUS,1985-07-31,42.1442
Australia,AUS,1985-08-31,42.486008
Australia,AUS,1985-09-30,43.260403
Australia,AUS,1985-10-31,43.007458
Australia,AUS,1985-11-30,40.880985
Australia,AUS,1985-12-31,39.366066
Australia,AUS,1986-01-31,40.633377
Australia,AUS,1986-02-28,42.536896
Australia,AUS,1986-03-31,42.718563
Australia,AUS,1986-04-30,42.801987
Australia,AUS,1986-05-31,41.692036
Australia,AUS,1986-06-30,41.28013
Australia,AUS,1986-07-31,42.17716
Australia,AUS,1986-08-31,41.57191
Australia,AUS,1986-09-30,43.37807
Australia,AUS,1986-10-31,42.739826
Australia,AUS,1986-11-30,39.063057
Australia,AUS,1986-12-31,40.336838
Australia,AUS,1987-01-31,40.01547
Australia,AUS,1987-02-28,42.32098
Australia,AUS,1987-03-31,43.368355
Australia,AUS,1987-04-30,42.254604
Australia,AUS,1987-05-31,41.153866
Australia,AUS,1987-06-30,41.265965
Australia,AUS,1987-07-31,41.796432
Australia,AUS,1987-08-31,40.46186
Australia,AUS,1987-09-30,43.08967
Australia,AUS,1987-10-31,40.267967
Australia,AUS,1987-11-30,39.103977
Australia,AUS,1987-12-31,38.924255
Australia,AUS,1988-01-31,39.762047
Australia,AUS,1988-02-29,41.419342
Australia,AUS,1988-03-31,43.56173
Australia,AUS,1988-04-30,41.502
Australia,AUS,1988-05-31,41.18436
Australia,AUS,1988-06-30,41.821198
Australia,AUS,1988-07-31,40.392235
Australia,AUS,1988-08-31,41.584175
Australia,AUS,1988-09-30,43.90596
Australia,AUS,1988-10-31,41.713478
Australia,AUS,1988-11-30,40.946453
Australia,AUS,1988-12-31,40.78196
Australia,AUS,1989-01-31,39.611732
Australia,AUS,1989-02-28,41.520008
Australia,AUS,1989-03-31,41.659424
Australia,AUS,1989-04-30,40.3052
Australia,AUS,1989-05-31,41.997383
Australia,AUS,1989-06-30,42.34293
Australia,AUS,1989-07-31,41.407116
Australia,AUS,1989-08-31,42.392174
Australia,AUS,1989-09-30,43.655884
Australia,AUS,1989-10-31,42.355927
Australia,AUS,1989-11-30,41.12306
Australia,AUS,1989-12-31,39.81043
Australia,AUS,1990-01-31,40.462524
Australia,AUS,1990-02-28,42.57855
Australia,AUS,1990-03-31,43.528667
Australia,AUS,1990-04-30,42.632866
Australia,AUS,1990-05-31,42.367115
Australia,AUS,1990-06-30,42.482613
Australia,AUS,1990-07-31,42.173893
Australia,AUS,1990-08-31,42.814564
Australia,AUS,1990-09-30,43.67253
Australia,AUS,1990-10-31,43.566414
Australia,AUS,1990-11-30,40.88321
Australia,AUS,1990-12-31,39.400116
Australia,AUS,1991-01-31,40.70816
Australia,AUS,1991-02-28,41.614544
Australia,AUS,1991-03-31,41.97612
Australia,AUS,1991-04-30,42.33495
Australia,AUS,1991-05-31,41.537193
Australia,AUS,1991-06-30,41.113243
Australia,AUS,1991-07-31,40.937565
Australia,AUS,1991-08-31,41.007557
Australia,AUS,1991-09-30,41.584877
Australia,AUS,1991-10-31,41.06427
Australia,AUS,1991-11-30,38.358524
Australia,AUS,1991-12-31,39.11219
Australia,AUS,1992-01-31,40.83104
Australia,AUS,1992-02-29,42.148262
Australia,AUS,1992-03-31,42.12007
Australia,AUS,1992-04-30,41.92453
Australia,AUS,1992-05-31,41.399395
Australia,AUS,1992-06-30,41.700752
Australia,AUS,1992-07-31,42.183586
Australia,AUS,1992-08-31,40.607533
Australia,AUS,1992-09-30,43.23225
Australia,AUS,1992-10-31,41.7577
Australia,AUS,1992-11-30,39.021305
Australia,AUS,1992-12-31,38.738163
Australia,AUS,1993-01-31,39.61843
Australia,AUS,1993-02-28,41.06338
Australia,AUS,1993-03-31,42.094822
Australia,AUS,1993-04-30,41.122692
Australia,AUS,1993-05-31,40.453377
Australia,AUS,1993-06-30,41.317482
Australia,AUS,1993-07-31,40.55475
Australia,AUS,1993-08-31,40.008083
Australia,AUS,1993-09-30,42.365814
Australia,AUS,1993-10-31,40.473083
Australia,AUS,1993-11-30,38.594135
Australia,AUS,1993-12-31,39.408737
Australia,AUS,1994-01-31,39.820057
Australia,AUS,1994-02-28,41.061234
Australia,AUS,1994-03-31,42.892746
Australia,AUS,1994-04-30,40.041077
Australia,AUS,1994-05-31,40.0223
Australia,AUS,1994-06-30,39.658916
Australia,AUS,1994-07-31,39.78191
Australia,AUS,1994-08-31,40.131214
Australia,AUS,1994-09-30,42.12073
Australia,AUS,1994-10-31,40.22007
Australia,AUS,1994-11-30,38.845444
Australia,AUS,1994-12-31,38.750347
Australia,AUS,1995-01-31,39.248604
Australia,AUS,1995-02-28,40.69174
Australia,AUS,1995-03-31,41.668304
Australia,AUS,1995-04-30,39.175762
Australia,AUS,1995-05-31,40.45719
Australia,AUS,1995-06-30,40.07977
Australia,AUS,1995-07-31,39.52847
Australia,AUS,1995-08-31,39.981373
Australia,AUS,1995-09-30,40.64766
Australia,AUS,1995-10-31,39.099144
Australia,AUS,1995-11-30,37.516125
Australia,AUS,1995-12-31,35.817966
Australia,AUS,1996-01-31,37.56357
Australia,AUS,1996-02-29,39.14004
Australia,AUS,1996-03-31,38.85454
Australia,AUS,1996-04-30,38.14409
Australia,AUS,1996-05-31,38.627098
Australia,AUS,1996-06-30,38.137486
Australia,AUS,1996-07-31,38.51563
Australia,AUS,1996-08-31,38.67016
Australia,AUS,1996-09-30,40.208035
Australia,AUS,1996-10-31,39.418045
Australia,AUS,1996-11-30,37.996216
Australia,AUS,1996-12-31,37.33328
Australia,AUS,1997-01-31,37.913456
Australia,AUS,1997-02-28,38.095303
Australia,AUS,1997-03-31,37.97749
Australia,AUS,1997-04-30,37.82401
Australia,AUS,1997-05-31,37.970234
Australia,AUS,1997-06-30,37.971146
Australia,AUS,1997-07-31,38.484184
Australia,AUS,1997-08-31,37.38615
Australia,AUS,1997-09-30,39.574287
Australia,AUS,1997-10-31,39.121197
Australia,AUS,1997-11-30,35.837223
Australia,AUS,1997-12-31,35.850006
Australia,AUS,1998-01-31,36.471306
Australia,AUS,1998-02-28,37.79888
Australia,AUS,1998-03-31,37.9181
Australia,AUS,1998-04-30,37.67681
Australia,AUS,1998-05-31,36.593914
Australia,AUS,1998-06-30,37.226818
Australia,AUS,1998-07-31,37.96179
Australia,AUS,1998-08-31,36.685097
Australia,AUS,1998-09-30,38.91965
Australia,AUS,1998-10-31,37.72242
Australia,AUS,1998-11-30,35.405613
Australia,AUS,1998-12-31,35.08676
Australia,AUS,1999-01-31,36.71585
Australia,AUS,1999-02-28,38.065533
Australia,AUS,1999-03-31,38.770176
Australia,AUS,1999-04-30,37.571327
Australia,AUS,1999-05-31,36.56433
Australia,AUS,1999-06-30,37.641487
Australia,AUS,1999-07-31,37.23222
Australia,AUS,1999-08-31,37.118774
Australia,AUS,1999-09-30,39.083973
Australia,AUS,1999-10-31,36.27318
Australia,AUS,1999-11-30,35.062176
Australia,AUS,1999-12-31,35.185577
Australia,AUS,2000-01-31,36.74913
Australia,AUS,2000-02-29,36.790535
Australia,AUS,2000-03-31,37.783527
Australia,AUS,2000-04-30,36.04272
Australia,AUS,2000-05-31,37.156906
Australia,AUS,2000-06-30,36.61757
Australia,AUS,2000-07-31,35.22694
Australia,AUS,2000-08-31,36.803654
Australia,AUS,2000-09-30,37.916252
Australia,AUS,2000-10-31,37.71318
Australia,AUS,2000-11-30,35.715324
Australia,AUS,2000-12-31,32.82773
Australia,AUS,2001-01-31,34.37284
Australia,AUS,2001-02-28,36.231842
Australia,AUS,2001-03-31,36.774166
Australia,AUS,2001-04-30,35.659557
Australia,AUS,2001-05-31,35.65728
Australia,AUS,2001-06-30,35.320713
Australia,AUS,2001-07-31,35.33019
Australia,AUS,2001-08-31,36.397514
Australia,AUS,2001-09-30,37.122803
Australia,AUS,2001-10-31,35.956318
Australia,AUS,2001-11-30,34.137733
Australia,AUS,2001-12-31,32.547367
Australia,AUS,2002-01-31,35.412193
Australia,AUS,2002-02-28,36.410004
Australia,AUS,2002-03-31,35.816822
Australia,AUS,2002-04-30,35.446583
Australia,AUS,2002-05-31,35.25751
Australia,AUS,2002-06-30,34.43995
Australia,AUS,2002-07-31,35.405293
Australia,AUS,2002-08-31,34.977654
Australia,AUS,2002-09-30,36.68009
Australia,AUS,2002-10-31,35.923706
Australia,AUS,2002-11-30,33.906914
Australia,AUS,2002-12-31,33.3615
Australia,AUS,2003-01-31,34.022427
Australia,AUS,2003-02-28,34.990658
Australia,AUS,2003-03-31,34.795
Australia,AUS,2003-04-30,34.47769
Australia,AUS,2003-05-31,34.72366
Australia,AUS,2003-06-30,35.55617
Australia,AUS,2003-07-31,35.52586
Australia,AUS,2003-08-31,34.99149
Australia,AUS,2003-09-30,36.93074
Australia,AUS,2003-10-31,36.440792
Australia,AUS,2003-11-30,32.93479
Australia,AUS,2003-12-31,33.42949
Australia,AUS,2004-01-31,34.824677
Australia,AUS,2004-02-29,34.934307
Australia,AUS,2004-03-31,35.941833
Australia,AUS,2004-04-30,35.528816
Australia,AUS,2004-05-31,33.64369
Australia,AUS,2004-06-30,32.46833
Australia,AUS,2004-07-31,35.93856
Australia,AUS,2004-08-31,34.066025
Australia,AUS,2004-09-30,36.20423
Australia,AUS,2004-10-31,34.117016
Australia,AUS,2004-11-30,33.781994
Australia,AUS,2004-12-31,32.668262
Australia,AUS,2005-01-31,34.1125
Australia,AUS,2005-02-28,36.09105
Australia,AUS,2005-03-31,37.44277
Australia,AUS,2005-04-30,37.09409
Australia,AUS,2005-05-31,36.174854
Australia,AUS,2005-06-30,36.523266
Australia,AUS,2005-07-31,35.8767
Australia,AUS,2005-08-31,36.34038
Australia,AUS,2005-09-30,38.27188
Australia,AUS,2005-10-31,36.515915
Australia,AUS,2005-11-30,35.24716
Australia,AUS,2005-12-31,34.89598
Australia,AUS,2006-01-31,35.45964
Australia,AUS,2006-02-28,36.35443
Australia,AUS,2006-03-31,36.07869
Australia,AUS,2006-04-30,36.105743
Australia,AUS,2006-05-31,36.303314
Australia,AUS,2006-06-30,36.07458
Australia,AUS,2006-07-31,37.366543
Australia,AUS,2006-08-31,37.65981
Australia,AUS,2006-09-30,39.192196
Australia,AUS,2006-10-31,37.487606
Australia,AUS,2006-11-30,36.47895
Australia,AUS,2006-12-31,34.898613
Australia,AUS,2007-01-31,37.765377
Australia,AUS,2007-02-28,38.63887
Australia,AUS,2007-03-31,39.13711
Australia,AUS,2007-04-30,37.2014
Australia,AUS,2007-05-31,38.04637
Australia,AUS,2007-06-30,37.624924
Australia,AUS,2007-07-31,38.32104
Australia,AUS,2007-08-31,38.797626
Australia,AUS,2007-09-30,38.8438
Australia,AUS,2007-10-31,38.602356
Australia,AUS,2007-11-30,36.95303
Australia,AUS,2007-12-31,35.191025
Australia,AUS,2008-01-31,37.694706
Australia,AUS,2008-02-29,37.997456
Australia,AUS,2008-03-31,38.027397
Australia,AUS,2008-04-30,37.64727
Australia,AUS,2008-05-31,36.999054
Australia,AUS,2008-06-30,36.58577
Australia,AUS,2008-07-31,38.58883
Australia,AUS,2008-08-31,37.63673
Australia,AUS,2008-09-30,38.80079
Australia,AUS,2008-10-31,38.243908
Australia,AUS,2008-11-30,35.538113
Australia,AUS,2008-12-31,37.43799
Australia,AUS,2009-01-31,35.97624
Australia,AUS,2009-02-28,38.628307
Australia,AUS,2009-03-31,37.67326
Australia,AUS,2009-04-30,38.087017
Australia,AUS,2009-05-31,36.490974
Australia,AUS,2009-06-30,37.2877
Australia,AUS,2009-07-31,37.711525
Australia,AUS,2009-08-31,36.02866
Australia,AUS,2009-09-30,38.73214
Australia,AUS,2009-10-31,38.117077
Australia,AUS,2009-11-30,36.170403
Australia,AUS,2009-12-31,36.16588
Australia,AUS,2010-01-31,36.352787
Australia,AUS,2010-02-28,37.894302
Australia,AUS,2010-03-31,38.945965
Australia,AUS,2010-04-30,37.10439
Australia,AUS,2010-05-31,37.017418
Australia,AUS,2010-06-30,37.559418
Australia,AUS,2010-07-31,36.672703
Australia,AUS,2010-08-31,36.09714
Australia,AUS,2010-09-30,37.350838
Australia,AUS,2010-10-31,35.651062
Australia,AUS,2010-11-30,33.536552
Australia,AUS,2010-12-31,29.542683
Australia,AUS,2011-01-31,36.054745
Australia,AUS,2011-02-28,37.76703
Australia,AUS,2011-03-31,38.29625
Australia,AUS,2011-04-30,36.87652
Australia,AUS,2011-05-31,36.7986
Australia,AUS,2011-06-30,37.195477
Australia,AUS,2011-07-31,35.689796
Australia,AUS,2011-08-31,36.084732
Australia,AUS,2011-09-30,37.475933
Australia,AUS,2011-10-31,35.789803
Australia,AUS,2011-11-30,35.553833
Australia,AUS,2011-12-31,34.536488
Australia,AUS,2012-01-31,36.533787
Australia,AUS,2012-02-29,37.279278
Australia,AUS,2012-03-31,37.37592
Australia,AUS,2012-04-30,36.560165
Australia,AUS,2012-05-31,37.19342
Australia,AUS,2012-06-30,36.663128
Australia,AUS,2012-07-31,36.38303
Australia,AUS,2012-08-31,36.975655
Australia,AUS,2012-09-30,36.670177
Australia,AUS,2012-10-31,37.210373
Australia,AUS,2012-11-30,34.782204
Australia,AUS,2012-12-31,28.960968
Australia,AUS,2013-01-31,36.478786
Australia,AUS,2013-02-28,37.230602
Australia,AUS,2013-03-31,36.76592
Australia,AUS,2013-04-30,36.101585
Australia,AUS,2013-05-31,36.774654
Australia,AUS,2013-06-30,35.83217
Australia,AUS,2013-07-31,35.57807
Australia,AUS,2013-08-31,35.195347
Australia,AUS,2013-09-30,36.43095
Australia,AUS,2013-10-31,35.633755
Australia,AUS,2013-11-30,34.78267
Australia,AUS,2013-12-31,34.07305
Australia,AUS,2014-01-31,34.71981
Australia,AUS,2014-02-28,37.553986
Australia,AUS,2014-03-31,36.08384
Australia,AUS,2014-04-30,36.02028
Australia,AUS,2014-05-31,35.253555
Australia,AUS,2014-06-30,34.992577
Australia,AUS,2014-07-31,35.538235
Australia,AUS,2014-08-31,34.311142
Australia,AUS,2014-09-30,36.405807
Australia,AUS,2014-10-31,34.917965
Australia,AUS,2014-11-30,30.037148
Australia,AUS,2014-12-31,26.668112
Australia,AUS,2015-01-31,34.525257
Australia,AUS,2015-02-28,35.282562
Australia,AUS,2015-03-31,35.21115
Australia,AUS,2015-04-30,34.682556
Australia,AUS,2015-05-31,33.777817
Australia,AUS,2015-06-30,34.505844
Australia,AUS,2015-07-31,35.20402
Australia,AUS,2015-08-31,34.11372
Australia,AUS,2015-09-30,35.826263
Australia,AUS,2015-10-31,34.533737
Australia,AUS,2015-11-30,33.115265
Australia,AUS,2015-12-31,33.334908
Australia,AUS,2016-01-31,33.538605
Australia,AUS,2016-02-29,35.80167
Australia,AUS,2016-03-31,35.937077
Australia,AUS,2016-04-30,35.096962
Australia,AUS,2016-05-31,34.38485
Australia,AUS,2016-06-30,35.059086
Australia,AUS,2016-07-31,33.475346
Australia,AUS,2016-08-31,33.49568
Australia,AUS,2016-09-30,34.52
Australia,AUS,2016-10-31,31.585352
Australia,AUS,2016-11-30,28.190813
Australia,AUS,2016-12-31,22.832241
Australia,AUS,2017-01-31,33.084114
Australia,AUS,2017-02-28,33.80499
Australia,AUS,2017-03-31,34.29428
Australia,AUS,2017-04-30,32.73859
Australia,AUS,2017-05-31,33.039295
Australia,AUS,2017-06-30,33.38407
Australia,AUS,2017-07-31,32.10242
Australia,AUS,2017-08-31,32.919804
Australia,AUS,2017-09-30,32.882698
Australia,AUS,2017-10-31,30.912653
Australia,AUS,2017-11-30,28.023643
Australia,AUS,2017-12-31,21.994293
Australia,AUS,2018-01-31,32.87618
Australia,AUS,2018-02-28,33.279774
Australia,AUS,2018-03-31,33.039658
Australia,AUS,2018-04-30,31.953058
Australia,AUS,2018-05-31,32.4553
Australia,AUS,2018-06-30,32.262814
Australia,AUS,2018-07-31,31.647028
Australia,AUS,2018-08-31,31.881153
Australia,AUS,2018-09-30,31.605095
Australia,AUS,2018-10-31,31.26019
Australia,AUS,2018-11-30,28.623268
Australia,AUS,2018-12-31,19.31819
Australia,AUS,2019-01-31,31.810825
Australia,AUS,2019-02-28,33.046646
Australia,AUS,2019-03-31,32.8085
Australia,AUS,2019-04-30,32.587357
Australia,AUS,2019-05-31,33.209076
Australia,AUS,2019-06-30,31.689606
Australia,AUS,2019-07-31,31.917
Australia,AUS,2019-08-31,31.393427
Australia,AUS,2019-09-30,32.26002
Australia,AUS,2019-10-31,32.528923
Australia,AUS,2019-11-30,30.581642
Australia,AUS,2019-12-31,29.433836
Australia,AUS,2020-01-31,31.147223
